X,y
1,2
2,5
3,10
4,17
5,26
6,37
7,50
8,65
9,82
10,101
11,122
12,145
13,170
14,197
15,226
16,257
17,290
18,325
19,362
20,401
21,442
22,485
23,530
24,577
25,626
26,677
27,730
28,785
29,842
30,901
31,962
32,1025
33,1090
34,1157
35,1226
36,1297
37,1370
38,1445
39,1522
40,1601
41,1682
42,1765
43,1850
44,1937
45,2026
46,2117
47,2210
48,2305
49,2402
50,2501
51,2602
52,2705
53,2810
54,2917
55,3026
56,3137
57,3250
58,3365
59,3482
60,3601
61,3722
62,3845
63,3970
64,4097
65,4226
66,4357
67,4490
68,4625
69,4762
70,4901
71,5042
72,5185
73,5330
74,5477
75,5626
76,5777
77,5930
78,6085
79,6242
80,6401
81,6562
82,6725
83,6890
84,7057
85,7226
86,7397
87,7570
88,7745
89,7922
90,8101
91,8282
92,8465
93,8650
94,8837
95,9026
96,9217
97,9410
98,9605
99,9802
100,10001
